2019-06-16 16:08:21 - PHP Notice:  Trying to get property 'user_id' of non-object in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 125
2019-06-16 16:08:21 - PHP Notice:  Trying to get property 'scope' of non-object in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 126
2019-06-16 16:08:21 - PHP Notice:  Trying to get property 'token_type' of non-object in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 127
2019-06-16 16:13:25 - PHP Notice:  Trying to get property 'access_token' of non-object in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 122
2019-06-16 16:13:25 - PHP Notice:  Trying to get property 'expires_in' of non-object in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 123
2019-06-16 16:13:25 - PHP Notice:  Trying to get property 'refresh_token' of non-object in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 124
2019-06-16 16:13:25 - PHP Notice:  Trying to get property 'user_id' of non-object in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 125
2019-06-16 16:13:25 - PHP Notice:  Trying to get property 'scope' of non-object in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 126
2019-06-16 16:13:25 - PHP Notice:  Trying to get property 'token_type' of non-object in /var/www/html/loja.droid.com.br/public/admin/controller/extension/module/opencartml.php on line 127
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant href - assumed 'href' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 15
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: breadcrumb in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 15
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 15
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: breadcrumb in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 15
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: client_id in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 67
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: client_secret in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 79
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant custom_field_id - assumed 'custom_field_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 132
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: custom_field in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 132
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 132
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: custom_field in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 132
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant custom_field_id - assumed 'custom_field_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 134
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: custom_field in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 134
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 134
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: custom_field in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 134
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant custom_field_id - assumed 'custom_field_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 154
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: custom_field in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 154
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 154
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: custom_field in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 154
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant custom_field_id - assumed 'custom_field_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 156
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: custom_field in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 156
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 156
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: custom_field in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 156
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant custom_field_id - assumed 'custom_field_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 176
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: custom_field in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 176
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 176
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: custom_field in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 176
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant custom_field_id - assumed 'custom_field_id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 178
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: custom_field in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 178
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 178
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: custom_field in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 178
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant id - assumed 'id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 207
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: categorie in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 207
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 207
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: categorie in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 207
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant id - assumed 'id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 209
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: categorie in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 209
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant name - assumed 'name' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 209
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: categorie in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 209
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: help_ml_subcategory in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 219
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant id - assumed 'id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 234
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: currencie in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 234
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant description - assumed 'description' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 234
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: currencie in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 234
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant id - assumed 'id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 236
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: currencie in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 236
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant description - assumed 'description' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 236
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: currencie in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 236
2019-06-16 16:13:25 - PHP Warning:  Use of undefined constant id - assumed 'id' (this will throw an Error in a future version of PHP) in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 249
2019-06-16 16:13:25 - PHP Notice:  Undefined variable: listing_type in /var/www/html/loja.droid.com.br/public/admin/view/template/extension/module/opencartml.tpl on line 249
